ECOLI_LOG10,TURB_NTRU,RHUM_PCT,WTEMP_CEL,BIRDS_NO,CHANGELL_FT,AirportWindSpInst_mph,AirportRain48W_in
0.6021,9.81,79,15.44,0,-0.131,6,0.075
0.301,3.255,91,10.56,5,-0.014,0,0
0.301,1.895,73,16.83,0,0.125,6,0
0.301,1.9725,42,9.22,0,-0.026,14,0
1.0792,3.1425,64,10.56,1,0.016,14,0
2.4378,23.25,87,13.5,7,0.082,11,0.58
1.5563,14.525,61,15.89,5,0.118,6,0.29
1.5563,159.75,77,16.17,37,-0.282,5,0.25
1.2041,6.69,77,16.61,50,0.296,6,0.125
0.301,2.585,72,17.78,30,-0.23,0,0
0.301,2.2225,64,17.56,9,-0.013,9,0
2.3729,21.825,77,17.61,0,0.069,7,2.14
0.6021,3.0575,83,17.89,2,-0.036,6,1.07
1.3802,2.91,76,17.28,26,0,6,0.03
2.1271,3.1825,77,18.83,32,-0.046,11,0.205
1.3802,2.6025,81,18.78,0,0.118,6,1.005
2.0934,23.025,72,17.33,1,0.033,9,1.455
1.6232,6.4975,69,18.94,13,-0.296,6,0.5
2.3424,3.92,63,18.39,13,0.22,10,0.01
2.0414,6.65,74,20.72,3,0.003,8,0.005
1.7634,12.8,88,20.83,15,-0.095,6,1.56
2.0645,4.125,90,20.56,23,-0.131,8,1.34
0.7782,3.95,55,19.56,15,0.348,0,0.28
2.2253,2.8,69,17.39,5,-0.253,5,0
0.301,4.725,60,18.83,130,0.033,3,0
1.6628,1.855,74,17.17,64,0.22,8,0
2.444,4.655,76,19.5,22,-0.053,14,0.12
2.0934,11.95,93,20.11,24,-0.065,0,0.9
2.4969,15.075,91,21.11,27,0.059,7,1.03
1.4771,3.575,80,22.06,35,0.088,3,0.305
2.3464,19.225,81,22.5,17,0.039,8,1.6
2.3945,20.95,72,23.89,24,-0.282,22,0.8
1.9542,20.925,83,23.17,17,0.213,8,0.17
1.6812,7.275,77,24.22,40,0.213,6,0.165
2.2923,29.925,70,21.83,0,-0.147,8,0.06
2.2648,10.1,56,22.56,25,0.121,3,0.01
1.415,8.675,57,22.72,32,-0.115,10,0
1.699,50.45,88,22.5,58,0.181,10,0.47
1.8921,50.975,80,23.67,25,-0.207,14,0.315
2.4314,71.875,80,22.56,28,0.453,6,3.33
2,4.025,67,23.33,24,-0.532,5,1.645
1,1.63,70,23.11,50,-0.013,0,0
0.7782,1.665,63,22.11,60,0.049,5,0
1.7782,11.25,81,22.44,27,0.03,16,0.15
1.6021,8.875,71,23.78,0,-0.138,6,0.125
2.6758,22.325,81,24.78,49,0.755,11,0.175
1.6628,41.125,69,21.78,0,-0.627,7,0.075
1,7.665,68,22.39,18,-0.016,8,0.02
0.7782,6.39,55,22.17,50,0.013,6,0.02
1.415,2.45,93,21.78,35,-0.105,5,0.465
2.3655,2.515,81,22.22,40,0.059,8,0.59
1.8062,1.4675,82,22.72,50,-0.053,0,0.18
0.301,1.0875,81,23.39,30,0.02,7,0
2.3766,8.2325,84,23.72,57,0.358,7,0
2.2742,23.7,71,21.56,25,-0.574,14,0.13
2.2304,6.545,74,21.61,140,0.124,7,0.065
2.0086,11.2,64,22.33,30,-0.069,9,0.02
2.0864,12,79,23.56,65,-0.026,7,0.06
1.9912,9.285,81,22.78,30,0.518,9,1.145
1.716,23.175,66,21.39,27,-0.351,7,0.62
1.3424,12.95,92,21.44,27,-0.164,6,0.32
1.5051,17.825,78,21.33,22,0.41,10,0.195
1.3802,9.425,71,21.39,140,-0.232,8,0.025
1.2041,3.25,78,22.78,60,-0.069,6,1.22
2.5159,2.2,87,22.17,0,0.085,0,1.33
1.7324,1.4375,74,23.06,45,0.052,8,0.36
1.5563,1.7475,74,23.56,25,-0.111,3,0
2.3181,2.125,85,23.11,4,-0.161,7,0.1
2.3464,11.1975,63,23.44,40,0.286,5,0.05
1.4771,2.12,81,22.83,2,-0.184,3,0
1.301,1.5075,75,22.72,50,-0.141,0,0
1.301,1.4,73,23.17,0,0.056,10,0
2.0934,1.1375,67,22.39,60,-0.05,14,0
2.2148,8.68,82,22.39,0,0.194,13,0.35
2.6848,19.35,78,21.22,92,0.308,14,1.715
2.2923,16.125,69,20.78,60,-0.187,14,0.78
1.7924,12.775,68,19.61,42,-0.019,9,0.005
1.5315,14.775,65,19.22,150,-0.033,10,0
1.2553,3.1675,81,21.06,0,0.164,3,0.13
1.0792,1.8375,83,21.56,24,-0.066,0,0
2.1004,2.625,83,21.06,30,0.178,13,1.02
1.415,4.1725,83,21.67,0,-0.155,6,0.91
1.301,1.835,86,23.06,0,0.138,5,0.2
2.0334,5.2925,89,21.83,120,-0.269,11,0.01
1.6232,4.16,67,22.94,42,0.223,8,0.005
1.3424,1.2425,67,21.67,0,-0.229,9,0
1.415,1.5325,64,21.94,150,0.167,10,0
1.5563,1.9425,67,21.61,22,-0.433,7,0
1.4472,1.3,65,21.72,50,0.177,16,0
2.301,8.765,82,22.39,200,0.062,14,0.05
1.9243,6.63,86,22.39,100,-0.049,9,1.325
2.1584,18.125,82,23.33,80,0.076,13,0.7
2.1206,14.65,88,22.44,80,0.124,8,0.905
1.1461,4.325,73,22.67,0,-0.144,7,0.44
1.9243,7.885,71,22.89,100,-0.121,9,0
1.2041,8.5075,70,18.67,26,-0.105,9,0.11
0.301,10.45,73,19.39,7,-0.004,13,0.195
1.2553,12.325,74,18.94,1,-0.003,7,0.61
0.301,1.51,54,18.17,0,0,14,0.27
1.1461,6.635,69,18.72,20,0.194,11,0
2.4502,47,90,17.5,0,-0.007,15,1.16
3.0017,67.125,86,15.11,2,-0.203,14,2.39
0.6021,4.8,79,13,6,-0.25,5,0
0.301,1.815,66,12.61,4,0.148,9,0
0.9031,6.7,67,11.94,10,0.089,9,0
2.8704,138,71,13.39,0,-0.132,16,0
1,2.985,51,12.33,0,-0.187,14,0
2.5416,28.1,83,14.83,0,0.374,5,0.19
2.8998,26.95,90,14.44,5,0.023,6,1.025
1.9494,10.9,92,19.39,10,0.085,11,2.24
1.1461,4.02,80,19.17,0,-0.023,0,0.6
0.301,1.2325,90,19.39,1,0.135,9,0.025
2.5821,6.455,83,18.78,0,0.252,10,0.08
1.1461,1.575,90,18.06,20,-0.328,5,0.035
1.9823,5.7425,86,18.94,1,0.181,9,0
1.8573,16.225,82,20.22,14,0.039,10,0
2.7364,110,89,21.28,5,0.076,13,0.69
1.8451,6.4525,74,21.28,9,-0.197,3,0.425
0.4771,1.8025,59,21.5,14,0.042,8,0.04
1.7853,6.49,82,20.61,0,-0.029,11,0
1.8573,9.0575,84,26.89,25,-0.541,10,0.03
1.8367,9.8,90,21.78,0,0.741,6,2.465
1.3617,5.6875,73,19.11,0,0.289,8,1.765
0.8129,2.4975,88,22.11,0,-0.22,10,0.84
1.7033,8.945,85,20,0,0.312,11,0.485
1.0792,5.8875,81,20.56,1,-0.138,8,0.1
0.301,1.42,63,19.72,30,0.01,5,0
1.0792,2.335,78,18.67,10,0.115,8,0
1.3802,1.3275,70,21.44,34,-0.003,9,0
2.5465,21.85,77,20.78,60,-0.269,10,0.735
1,1.445,83,20.94,30,0.128,0,1.15
1.2553,2.4725,72,21.78,50,0.059,0,0
2.1523,2.37,77,21.67,95,0,5,0
2.9647,4.2,73,21.22,46,0.095,15,0.34
2.7578,78.425,78,20.33,30,0.072,15,0.45
1.9395,3.85,64,19.83,103,-0.082,5,0.14
1.6628,2.695,65,19.06,0,-0.062,14,0.01
1.9912,12.65,84,20.5,30,0.197,10,0.045
2.0607,15.225,84,23.44,85,0.069,5,0
2.1861,9.9725,77,23.28,80,0,7,0
2.0719,27.275,60,21.94,50,-0.01,9,0
1.9031,5.3875,61,22.28,48,-0.138,9,0
0.301,3.535,58,23.33,21,0,7,0
1.2041,2.0875,52,22.39,30,-0.046,10,0
0.301,0.83,70,24.39,0,0.016,0,0
0.6021,1.49,67,24.22,22,0.062,7,0
1.2175,11.5,68,24.39,88,-0.154,8,0.01
1.8195,24.8,65,24.22,55,-0.154,10,0.07
1.5378,14.3,70,24,72,0.41,5,0.045
1,9.0375,66,23.72,10,-0.384,7,0.005
0.6021,2.825,69,23.72,40,-0.239,6,0
0.9031,1.5575,71,23.78,100,0.124,7,0
1.0792,1.825,70,23.5,75,-0.184,0,0
1,3.42,72,23.44,50,0.102,8,0
1.5315,1.97,69,24,25,-0.023,7,0
2.4955,16.525,83,23.56,63,0.253,9,0.76
2.2188,14.05,78,22.89,30,-0.154,9,0.38
1.5798,5.59,67,21.83,75,-0.063,9,0
1.9395,35.675,66,22.22,0,0.174,14,0
1.2041,11.825,85,23.28,50,-0.325,0,0.34
0.7782,2.0675,71,24.28,70,0.164,7,0.18
1.0792,4.2275,72,25,50,0.079,7,0.005
1.3424,1.6675,81,24.89,30,-0.145,15,0.245
2.2833,60.5,46,22.78,20,0.501,13,0.625
0.301,7.525,76,22.83,0,-0.633,0,0.295
0.301,3.4425,71,22.61,50,-0.026,0,0
1.5911,16.525,66,22.67,75,0.702,9,0
1.7033,46.925,88,21.17,10,-1.04,5,0.22
1.1461,11.3,70,20.78,13,0.443,7,0.65
1.1461,8.9425,73,20.83,30,0.03,6,0.45
1.301,2.565,74,24,70,-0.063,13,0.04
1.7324,4.71,66,24.39,60,0.007,10,0.015
0.301,5.225,71,20.78,0,-0.027,5,0.02
2.0864,6.6,78,20,0,-0.131,5,0.01
0.7782,1.75,68,20,20,0.148,0,0
0.9031,3.9,71,19.11,0,-0.443,6,0
0.301,1.175,84,16.67,0,0.216,8,0.08
0.301,2,76,20,0,0.059,5,0.04
1.7924,2.1,68,19.83,0,0.014,3,0
2.6758,20.575,78,21.11,1,0.423,10,0.17
2.5729,127.9,75,17.78,0,-0.197,16,1.425
2.0253,20.525,77,18.33,0,-0.151,13,0.71
2.1089,23.325,61,17.67,0,0.473,14,0.49
1.4624,9.59,51,17.22,0,-0.43,8,0.305
0.7782,6.275,57,18.06,0,-0.043,7,0.035
1.2041,9.5625,77,18.61,5,0.249,18,0
1.2041,25.25,51,18.94,10,-0.426,15,0
0.9031,22.525,66,18.33,3,0.223,9,0
0.301,3.595,59,18.33,0,-0.151,0,0
0.6021,2.0025,65,18.61,0,-0.138,3,0
1.6021,1.36,80,18.56,0,0.223,0,0
1.2553,1.7125,70,18.72,0,-0.19,13,0.09
0.301,0.81,60,19.5,0,-0.02,6,0.045
1.2041,0.5975,47,19.28,50,0.128,10,0
2.1523,6.65,52,20.56,65,0.092,10,0
1.415,14.625,49,21.11,0,-0.518,0,0.01
2.0253,4.7525,60,20.33,25,0.312,6,0.005
1.0792,2.025,77,21.17,35,0.213,5,0.01
1.3424,1.05,51,20.33,30,-0.443,10,0.015
1,0.775,68,20.78,20,0.305,0,0.005
2.2648,1.425,54,21,58,0.049,11,0
2.534,12.375,88,22.17,0,-0.098,8,1.44
2.0645,8.725,67,22.17,22,0.003,6,0.72
1.2041,2.925,58,21.44,50,-0.085,11,0.02
2.1139,8.525,57,20.83,0,0.341,10,0.04
1.4472,4.4,54,21.5,15,-0.39,8,0.015
1,2.2,56,21.78,33,-0.102,7,0
2.4997,2.675,78,21.72,17,0.171,5,0.16
1.9345,4.625,67,22.89,0,0.003,7,0.08
1.1461,2.125,77,23.56,20,0.013,10,0.7
2.2095,3.75,80,24.22,90,0.128,11,1.07
2.2878,9.875,77,23.61,30,0.141,13,3.28
2.0569,9.975,76,23.67,60,-0.102,7,1.49
0.6021,2.85,66,24.44,0,-0.137,6,0.015
1.5798,1.1,60,23.78,25,0.042,9,0
1.9638,5.975,76,24.67,45,0.102,9,0
2.4314,20.725,78,24.72,30,0.193,11,0.09
1.9912,35.375,77,25.17,50,-0.21,8,0.295
1.301,8.3,74,24,10,-0.124,9,0.125
1.2041,1.6,68,24.11,70,-0.217,0,0
2.2405,22.525,76,24.5,95,0.154,13,0.04
1.2041,6.4025,51,24.17,59,-0.167,5,0.02
1.3802,3.7575,67,23.83,93,0.017,6,0
0.301,1.385,54,24.06,25,0.049,7,0
2.3054,14.15,84,24.72,50,-0.056,14,1.24
1.8062,10.3275,84,25.72,50,0.056,5,0.62
1.0792,2.1175,72,26.44,0,-0.02,0,0
2.2833,15.35,74,26,46,0.492,10,0.01
1.8451,8.2675,65,29.78,54,-0.571,7,0.375
1.1461,2.4575,62,25.72,0,0.158,7,0.185
0.6021,1.05,67,28.72,50,-0.056,3,0
2.4683,2.515,78,25.5,25,-0.128,0,0
1.4472,1.25,90,24.83,75,-0.239,9,0.77
1.8573,1.45,76,26.67,75,0.328,9,0.395
1.5051,1.125,113,27.39,171,0.009,5,0.035
1.9542,1.1075,75,25.61,105,-0.131,7,0.055
1.5315,0.885,66,27.44,20,0.013,7,0.02
1,0.825,72,25.28,0,-0.023,9,0
2.5416,3.1975,75,24.72,25,0.089,9,0
2.1072,15.025,63,24.89,30,-0.243,10,0.01
1.716,5.45,62,24.89,134,0.181,6,0.015
1.301,2.33,73,25.11,0,-0.027,0,0.005
0.301,0.9375,64,24.67,0,-0.114,13,0
2.0569,2.9475,87,25.56,37,0.144,9,4
1.2041,1.22,80,26.89,111,-0.036,5,2.02
2.1931,14.975,76,27,50,0.105,13,0.38
2.017,16.3,71,26.06,0,-0.22,13,0.185
2.1761,46.95,79,26,2,0.18,6,1.04
2.4314,5.1925,71,25.44,0,-0.079,13,0.12
1.9542,14.75,80,25.33,0,0.364,6,0.695
2.1931,10.2275,81,25,0,-0.167,5,0.34
1.301,3.46,74,24.78,0,-0.239,10,0.02
1.9243,6.9775,79,24.72,0,0.101,9,0.025
2.6107,26.575,65,25.28,45,0.492,14,0.08
1.2041,12.1,60,24.67,0,-0.449,9,0.795
2.3139,12.175,85,25.06,0,0.22,7,0.27
1.8451,21.9,78,25.33,30,-0.223,5,0.445
1.2553,2.2125,77,25.28,0,-0.338,6,0.155
1.5563,6.0675,79,25.33,0,0.364,7,0.01
1.7782,5.0975,71,24.72,0,-0.269,13,0.005
0.9031,0.91,70,24.67,30,0.069,6,0
2.2201,3.205,219,24.28,30,0.132,6,0.02
1.6435,6.14,70,23.39,100,-0.157,10,2.04
1,3.075,78,22.94,0,0.045,0,0.01
0.301,1.83,68,23,60,0.073,0,0
1.6232,9.195,78,14.5,0,-0.016,0,0.78
0.301,3.0175,79,15.89,1,-0.092,0,0
1.0792,10.375,80,15,0,0.335,12,0.9
0.9031,9.46,69,16.72,4,-0.112,6,0.93
1.2553,10.755,54,17.17,0,0.223,6,0.24
1.2041,11.25,68,17,0,-0.236,8,0.01
0.6021,4.175,67,16.56,0,-0.01,7,0
0.301,2.0825,49,17.39,3,-0.026,4,0
1.4771,1.8675,71,17.06,0,0.134,5,0.09
1.1461,5.4225,88,17.94,0,-0.206,10,1.77
1.6435,11.2,77,17.56,0,0.265,10,0.58
2.4314,43.75,76,15.67,0,-0.226,10,0.15
1.1461,5.985,76,17.33,1,-0.207,0,0.08
1,10.675,56,17.78,0,0.086,8,0.01
1,8.6325,73,18.17,0,0.275,10,0.69
1.7482,13.275,55,19.56,5,-0.141,9,0.23
0.9031,8.535,57,20.56,8,-0.036,9,0
0.301,4.3,72,21.11,5,0.112,8,0
0.301,1.6025,71,20,3,-0.25,4,0
1.2304,2.9725,70,19.56,0,-0.016,6,2.7
1.2553,4.1725,75,21.56,2,0.197,7,0.96
1.301,4.96,72,22.11,10,-0.155,12,0.02
1.6021,7.75,62,22.61,0,-0.039,15,0.06
2.0719,20.475,77,22,0,0.069,6,10.76
2.5024,59.25,76,21.39,0,0.407,8,4.06
2.2788,35.4,71,21.56,8,-0.423,3,0.64
0.6021,4.5725,53,22.39,2,-0.115,8,0.16
1.9445,19.775,77,22.44,0,0.059,12,0.54
2.5132,45.875,69,22.06,2,0.246,8,2.01
2.3304,60.875,59,21.67,11,-0.069,7,0.61
2.0569,50.325,60,20.78,0,0.174,8,0.18
1.8921,59.8,66,20,0,0.298,10,0.54
1.6021,45.325,65,19.72,0,-0.511,8,0.16
1.6232,30.95,53,21,0,-0.04,14,0
0.7782,19.225,90,22.06,100,-0.049,3,0.57
1.7924,31.5,88,22.28,0,0.259,4,0.94
1.6628,13.1,73,22.5,22,-0.134,7,0.34
1.1461,10.7,63,22.89,7,-0.099,3,0.03
2.3345,5.48,78,22.72,19,-0.095,0,0
1.2041,2.3325,65,21.94,0,0.01,5,0
0.301,1.93,77,22.44,1,0.003,7,0
2.8727,13.325,78,23.06,0,0.076,8,0
1.3424,14.45,79,23.06,26,-0.125,7,0.03
1.6232,13.25,62,22.17,47,0.371,7,0.01
1.2553,17.6,53,22.5,0,-0.371,10,0
1.9823,8.0875,85,23.67,15,0.2,8,0.73
2.7404,25.4,85,23.78,35,0.026,14,0.73
1.7634,10.05,83,24.5,0,-0.082,6,0.2
1.3424,8.27,71,23.61,56,0.24,8,0.01
0.7782,6.17,68,24.5,38,0.039,7,0
1.2041,8.5975,74,24.44,23,-0.167,5,0.03
0.9031,2.3325,76,24.89,7,-0.03,6,0.01
0.9031,1.7025,72,25.39,60,-0.029,5,0
1.1461,2.585,68,26.11,110,-0.109,6,0
1.6232,7.835,72,26.28,0,0.187,5,0
1.1461,2.7375,72,25.28,2,-0.16,4,0
1.415,2.7625,83,25.78,0,-0.053,0,0.03
2.6294,7.3125,76,25.94,0,0.19,6,0.01
2.0934,21.4,69,22.17,78,0.007,9,0
1,2.875,71,22.78,2,-0.171,7,0
1.0792,2.275,73,23.17,60,-0.023,5,0
1.7634,9.335,78,23.17,0,-0.187,8,0
1.7324,16.425,76,22.94,0,0.151,6,0
1.8195,14.5,65,21.89,37,-0.16,0,0
1.7782,5.71,78,23.17,54,0.151,6,0
1.6021,4.5625,68,23.89,46,0.059,5,0
0.7782,3.1275,59,23.78,37,-0.082,8,0
1.2041,3.9375,70,24,35,-0.059,8,0
1.9138,4.315,71,24.44,0,-0.086,12,0.57
2.2253,84.35,66,22,27,0.791,12,1.09
0.9031,29.15,72,21,27,-0.82,5,0.3
1.9445,21.25,74,20.89,37,0.066,4,0
1.415,11.45,56,21.39,67,-0.01,6,0
1,3.93,59,22.17,65,-0.089,9,0
2.4314,7.7575,76,22.61,0,0.128,9,0.03
1.5315,11.55,81,21.17,0,-0.039,4,0.28
2.2041,14,70,21.67,29,0.102,3,0.09
1.0792,3.4225,66,21.78,32,-0.302,3,0
1.9243,5.125,68,21.78,13,0.21,6,0
1.9445,4.91,79,22.39,33,-0.076,0,0
0.7782,1.6375,61,22,0,-0.252,5,0
2.4314,10.025,78,23.39,15,0.456,11,0.72
2.1206,38.05,77,23.17,0,0.069,5,0.24
1.5315,2.585,64,22.56,120,-0.368,6,0
0.9031,5.1225,72,23.39,72,-0.108,7,0
1.5315,10.2675,68,24.11,16,0.184,15,0
2,24.25,57,22.72,52,0.301,7,2.13
1,12.975,63,21.06,60,-0.597,0,0.71
1.1461,5.455,83,22.44,0,0,0,0.24
2.2648,2.115,61,21.39,150,0.125,6,0.08
1,1.6125,62,21.72,45,-0.098,10,0
1.5051,2.585,62,21.22,16,-0.043,15,0
1.0792,1.515,64,20.67,31,-0.02,12,0
1.5051,1.845,73,21.28,0,0.263,7,0
2.3464,29.15,78,21.06,0,-0.158,9,0
1.2041,4.825,62,20.61,61,-0.21,7,0
1.1461,4.15,60,19.28,30,-0.528,9,0
0.6021,7.6225,73,13.61,0,0.121,7,0.01
0.301,4.8,84,15.83,2,-0.075,5,0
0.301,3.2,49,16.28,4,-0.102,8,0
0.301,2.375,78,16.44,0,0.007,5,0.1
0.9031,3.975,78,16,0,0.078,0,0.05
0.301,1.675,73,18.39,7,-0.052,12,0
0.301,2.55,64,13.56,0,-0.079,15,0
1.6435,5.0225,71,15.5,1,0.085,9,0.02
0.301,2.4825,76,16.11,0,-0.023,11,0.01
1.0792,13.975,78,16.44,0,0.063,10,0
0.301,2.675,72,12.78,0,-0.046,8,0
2.2833,53.675,79,14.5,0,0.439,8,0.16
2.1072,51.45,84,15.11,0,0.076,9,0.08
0.301,19.025,67,14.39,1,-0.328,6,0
0.301,7.8925,59,15.56,0,-0.174,0,0
0.301,3.42,80,17.56,9,-0.2,8,0
0.301,2.155,55,16.28,1,0.046,10,0
1,1.7175,86,14.89,6,0.01,5,0.38
1.3424,2.665,63,15.39,0,-0.283,14,0.33
0.7782,2.2325,59,16.17,0,0.227,8,0.07
2.4502,9.19,87,16.56,0,0.193,8,1.2
1.9823,19.45,65,16.89,0,0.135,0,0.6
1.1461,8.02,66,18.67,2,-0.315,9,0
0.301,2.04,49,19.61,0,0.092,3,0
1.6435,1.965,79,19,0,0.016,10,0
1.301,2.6925,71,21.06,4,0.108,13,0
1.415,8.955,81,20.17,0,0.102,4,2.12
1.3802,1.7825,65,19.17,0,-0.315,0,1.06
0.301,1.6275,80,17.89,0,-0.003,8,0.2
1.5798,9.3575,66,12.78,30,-0.292,12,0.12
0.301,1.42,85,14.72,0,0.249,7,0.71
2.3541,7.54,84,17.39,0,0.364,9,1.61
1.5563,4.3725,81,16.5,0,-0.203,13,0.71
0.301,1.3125,51,13.17,0,-0.203,11,0.04
0.301,2.275,75,14.39,0,0.078,9,0
1.9638,5.94,90,17.06,0,0.325,8,0.88
0.7782,4.6025,70,18.72,0,-0.19,7,0.44
1,2.0825,65,20.44,0,-0.108,5,0
0.7782,2.13,61,20.78,0,0.242,8,0
0.9031,3.135,64,22.28,10,-0.029,4,0
1.301,2.1775,73,23.39,0,-0.184,0,0
0.301,1.6225,82,23.78,0,0.089,5,0
1.5051,1.7,74,23.89,30,0.042,8,0
1.5798,11.04,64,24.28,0,-0.351,3,0.2
2.3385,4.0225,53,23.72,3,0.25,9,0.1
1.3802,2.4775,55,22.28,1,0.065,5,0
1.9445,7.195,72,23.28,10,-0.036,8,0
1.8921,9.95,66,22.56,0,-0.141,0,0
0.6021,1.76,63,22.39,56,-0.072,5,0
0.6021,1.515,52,23.61,0,0.121,6,0
2.6107,4.035,61,23.5,30,-0.006,0,0
1.2041,1.62,62,23.56,53,-0.059,7,0
1.6812,1.84,69,24.06,20,0.128,8,0
2.4742,9.5,62,25.83,8,-0.01,8,0.1
1.9731,12.175,74,24.06,0,0.046,4,0.05
0.7782,4.125,66,24.89,20,-0.282,12,0
1.1461,1.35,56,23.17,0,0.056,15,0
1.716,1.4125,61,22.83,45,-0.02,5,0
2.1931,12.275,89,20.78,15,-0.328,11,1.18
1.3424,1.9975,76,21.39,82,0.443,11,0.89
1.3424,1.72,71,21.89,50,-0.197,4,0.15
1.7924,2.1875,87,22.06,23,0.193,5,0.2
1.4771,3.3525,70,22.78,0,-0.003,6,0.1
2.2304,12.15,77,23.11,23,-0.187,6,0.58
1.6232,7.84,70,23.22,4,0.194,4,0.63
1.301,3.38,78,23.5,0,-0.151,6,0.27
0.9031,2.33,79,22.67,18,0.029,5,0.07
0.301,1.2275,74,22.67,26,-0.088,9,0.01
1.8062,3.775,75,22.39,20,0.403,6,0
2.017,11.725,78,22,0,-0.351,5,0.04
1.2041,2.99,77,23.67,18,0,5,0.02
1.6812,3.94,71,23.56,1,0.066,6,0
1.415,2.445,68,23.5,66,-0.003,7,0
1.4472,3.855,68,24.28,2,-0.119,6,0
2.0414,13.25,76,24.28,0,0.092,9,0.04
1.3424,7.645,77,24.17,2,0.217,3,0.72
2.0864,9.1975,84,23.78,0,-0.325,0,0.35
1.415,5.77,86,25.11,3,-0.079,0,0.92
1.3424,3.07,71,24.33,13,0.033,0,0.46
2.1818,6.5125,66,24,49,-0.062,4,0
1.0792,1.5225,76,24,0,0,4,0
2.7243,2.255,86,23.39,48,0,8,0.68
2.3201,10.825,80,23.89,0,-0.013,6,0.34
1.5798,3.875,73,24.5,0,-0.213,11,0
1.6021,14.275,79,24.83,0,0.167,8,0.08
1.9031,6.9,83,24.44,31,0,0,1.42
1.2041,2.8,83,24.72,10,0,9,0.69
0.7782,1.425,77,23.28,16,-0.292,12,0
1.5798,1.4125,87,23.56,0,0,8,0.04
2.4564,34.2,76,23.72,17,0,6,0.26
1.8195,14.25,59,22.72,40,-0.279,7,0.16
2.2878,9.75,57,22.72,0,-0.308,13,0.02
1.0792,7.75,79,22.83,7,0.134,5,0
1.7924,14.975,77,22,21,-0.013,0,0
1.8921,6.845,90,23.72,1,-0.069,13,0.32
2.2355,15.45,68,24.5,15,0,11,0.16
1.6021,18.2,68,25.17,4,0,9,0
1.9823,17.75,65,23.44,0,-0.41,0,0.88
1.5051,1.93,81,23.39,0,0.298,10,0.44
1.3424,1.45,79,23.72,77,-0.026,11,0
2.3424,18.675,83,23.61,7,0.092,7,0
